permutation|time
(0, 1, 2, 3, 4)|0:00:13.826996
(0, 1, 2, 3, 4)|0:00:14.719000
(0, 1, 2, 3, 4)|0:00:15.049000
(0, 1, 2, 3, 4)|0:00:15.058002
(0, 1, 2, 3, 4)|0:00:15.136001
(0, 1, 2, 3, 4)|0:00:15.171014
(0, 1, 2, 3, 4)|0:00:15.158000
(0, 1, 2, 3, 4)|0:00:15.155550
(0, 1, 2, 3, 4)|0:00:15.241999
(0, 1, 2, 3, 4)|0:00:15.239000
(0, 1, 2, 3, 4)|0:00:15.198000
(0, 1, 2, 3, 4)|0:00:15.218000
(0, 1, 2, 3, 4)|0:00:15.317984
(0, 1, 2, 3, 4)|0:00:15.250000
(0, 1, 2, 3, 4)|0:00:15.199000
(0, 1, 2, 3, 4)|0:00:15.296027
(0, 1, 2, 3, 4)|0:00:15.530014
(0, 1, 2, 3, 4)|0:00:15.391001
(0, 1, 2, 3, 4)|0:00:15.253551
(0, 1, 2, 3, 4)|0:00:15.265001
(0, 1, 2, 4, 3)|0:00:15.302000
(0, 1, 2, 4, 3)|0:00:15.165028
(0, 1, 2, 4, 3)|0:00:15.236008
(0, 1, 2, 4, 3)|0:00:15.198022
(0, 1, 2, 4, 3)|0:00:15.252998
(0, 1, 2, 4, 3)|0:00:15.185000
(0, 1, 2, 4, 3)|0:00:15.144126
(0, 1, 2, 4, 3)|0:00:15.210000
(0, 1, 2, 4, 3)|0:00:15.291996
(0, 1, 2, 4, 3)|0:00:15.198000
(0, 1, 2, 4, 3)|0:00:15.230000
(0, 1, 2, 4, 3)|0:00:15.192999
(0, 1, 2, 4, 3)|0:00:15.297000
(0, 1, 2, 4, 3)|0:00:15.187999
(0, 1, 2, 4, 3)|0:00:15.130000
(0, 1, 2, 4, 3)|0:00:15.373001
(0, 1, 2, 4, 3)|0:00:15.284999
(0, 1, 2, 4, 3)|0:00:15.287000
(0, 1, 2, 4, 3)|0:00:15.210001
(0, 1, 2, 4, 3)|0:00:15.285000
(0, 1, 3, 2, 4)|0:00:15.177001
(0, 1, 3, 2, 4)|0:00:15.250000
(0, 1, 3, 2, 4)|0:00:15.168001
(0, 1, 3, 2, 4)|0:00:15.275399
(0, 1, 3, 2, 4)|0:00:15.225001
(0, 1, 3, 2, 4)|0:00:15.226998
(0, 1, 3, 2, 4)|0:00:15.154998
(0, 1, 3, 2, 4)|0:00:15.332000
(0, 1, 3, 2, 4)|0:00:15.182000
(0, 1, 3, 2, 4)|0:00:15.173998
(0, 1, 3, 2, 4)|0:00:15.208000
(0, 1, 3, 2, 4)|0:00:15.286002
(0, 1, 3, 2, 4)|0:00:15.217001
(0, 1, 3, 2, 4)|0:00:15.300001
(0, 1, 3, 2, 4)|0:00:15.184000
(0, 1, 3, 2, 4)|0:00:15.276000
(0, 1, 3, 2, 4)|0:00:15.242000
(0, 1, 3, 2, 4)|0:00:15.229001
(0, 1, 3, 2, 4)|0:00:15.171001
(0, 1, 3, 2, 4)|0:00:15.265000
(0, 1, 3, 4, 2)|0:00:15.162000
(0, 1, 3, 4, 2)|0:00:15.244000
(0, 1, 3, 4, 2)|0:00:15.259509
(0, 1, 3, 4, 2)|0:00:15.183116
(0, 1, 3, 4, 2)|0:00:15.245001
(0, 1, 3, 4, 2)|0:00:15.248000
(0, 1, 3, 4, 2)|0:00:15.239005
(0, 1, 3, 4, 2)|0:00:15.227001
(0, 1, 3, 4, 2)|0:00:15.235999
(0, 1, 3, 4, 2)|0:00:15.207026
(0, 1, 3, 4, 2)|0:00:15.266000
